name,2010EIIE,2010ECPD,2011EIIE,2012ECPD,2012EIIE,2013ECPD,2013EIIE,2014ECPD,2014EIIE,2015ECPD,2015EIIE,2016ECPD,2016EIIE,2017ECPD,2017EIIE,2018ECPD,2018EIIE,2019ECPD,2019EIIE,2020ECPD,2020EIIE,2021ECPD,2021EIIE,2022ECPD,2022EIIE,2023ECPD,2023EIIE,2024ECPD,2024EIIE
梅州市,0.0211912,0.88319659,0.022147,0.8889015,0.0228529,0.89488301,0.0215705,0.90023861,0.0236515,0.8970182,0.0228839,0.89394491,0.0246172,0.90508862,0.0237874,0.926082,0.0224223,0.94659135,0.0225064,0.96793926,0.0242317,0.99366179,0.0231914,1.020473,0.0262823,1.0469861,0.0259236,1.0734993,0.0255648
鄂州市,0.0173087,1.0494676,0.0165299,1.1046577,0.0167857,1.1647027,0.0157296,1.200523,0.0161298,1.188403,0.0158494,1.2156327,0.0179946,1.1880064,0.0168428,1.189038,0.0160361,1.4735497,0.0166843,1.584679,0.018065,1.6716132,0.0188013,2.1094411,0.0180086,2.5505244,0.0186875,2.9916076,0.0193665
吕梁市,0.0228383,0.92576704,0.0237619,0.91923238,0.0232114,0.94358617,0.0239902,0.92653428,0.0242418,0.89103346,0.0270117,0.89476604,0.0267422,0.9116516,0.0280314,0.92663479,0.027984,0.93860891,0.0284808,1.0327591,0.0279721,1.0718768,0.0299831,1.0857663,0.0318418,1.092186,0.0314689,1.0986058,0.031096
舟山市,0.0155402,2.5788527,0.0149414,2.6402157,0.0156788,2.7756113,0.0175391,2.8164358,0.0189247,2.933546,0.0194865,3.1190627,0.0202691,3.1630899,0.019943,3.2253186,0.0199094,3.2119862,0.0208061,3.1495264,0.0210645,3.2025328,0.0214383,3.1394684,0.0207624,3.0764039,0.0194873,3.0133395,0.0182121
朝阳市,0.0314845,1.2234899,0.0330761,1.2640868,0.0332597,1.2908739,0.0293342,1.2966163,0.031276,1.2870205,0.033236,1.3270889,0.0332009,1.3286307,0.0330908,1.3490649,0.0320212,1.3684675,0.0312035,1.3786285,0.0336227,1.390094,0.0336773,1.4072247,0.0344091,1.423965,0.0351486,1.4407054,0.0358881
广安市,0.0201209,0.59227558,0.0193205,0.64846604,0.0185351,0.63933056,0.0189402,0.65509828,0.0188666,0.4650371,0.0177217,0.47971349,0.0184625,0.48120452,0.0174194,0.47505942,0.0170307,0.47339599,0.0196521,0.47145658,0.0199797,0.46926453,0.0184133,0.46662296,0.0215302,0.46375667,0.0221824,0.46089037,0.0228346
濮阳市,0.0190771,0.63499117,0.0205912,0.67445203,0.0196386,0.72284441,0.0204459,0.77031974,0.0189509,0.80830239,0.0200768,0.84678374,0.0189723,0.87830389,0.0195915,0.91148021,0.0190655,0.92106988,0.019713,1.0922049,0.0208632,1.0818484,0.0210206,1.1909618,0.0210728,1.2997849,0.020667,1.408608,0.0202612
宣城市,0.0235996,1.2513717,0.022919,1.2985405,0.0221422,1.3401797,0.0228565,1.3690227,0.0230586,1.388097,0.0241974,1.4345657,0.0263764,1.4508162,0.0235107,1.4382143,0.023924,1.5047467,0.021687,1.5855166,0.0259356,1.6344622,0.0250029,1.6693065,0.0235356,1.7033133,0.0235668,1.7373201,0.0235979
六盘水市,0.0152719,0.56065386,0.0148541,0.67132736,0.0160079,0.65363346,0.0174893,0.73285886,0.0191147,0.69854765,0.0195536,0.74245925,0.0209902,0.763179,0.0221601,0.79851614,0.0221116,0.81727134,0.0238662,0.87405345,0.0228971,0.90211692,0.0237294,0.93223534,0.0227295,0.96080011,0.0247085,0.98936488,0.0266876
深圳市,0.0183523,7.287786,0.0191727,8.134302,0.0200868,30.871434,0.020355,9.86667,0.0198357,10.42701,0.0200036,11.049126,0.020612,11.780307,0.0206995,12.511488,0.0210725,13.430274,0.0214613,10.514394,0.0215185,11.461758,0.0221851,12.409122,0.0499555,13.356486,0.0600131,14.30385,0.0700655
